"","Year","State","Label","Population.16.years.and.over","In.labor.force","Employed","Unemployed","Armed.Forces","Not.in.labor.force","Unemployment.Rate","Females.16.years.and.over","Females.in.Labor.Force","Females.Employed","Agriculture..forestry..fishing.and.hunting..and.mining","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing..and.utilities","Information","Finance.and.insurance..and.real.estate.and.rental.and.leasing","Professional..scientific..and.management..and.administrative.and.waste.management.services","Educational.services..and.health.care.and.social.assistance","Arts..entertainment..and.recreation..and.accommodation.and.food.services","Other.services..except.public.administration","Public.administration","Total.households","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..24.999","X.25.000.to..34.999","X.35.000.to..49.999","X.50.000.to..74.999","X.75.000.to..99.999","X.100.000.to..149.999","X.150.000.to..199.999","X.200.000.or.more","Median.household.income..dollars.","Mean.household.income..dollars.","Enrollment","Above.Or.Below.US.Mean.Income","total_enrollment"
"13",2010,"Arizona","Estimate","4,963,740","3,030,345","2,655,557","356,011","18,777","1,933,395",NA,"2,515,239","1,406,472","1,250,975","33,673","175,211","193,505","64,963","336,160","131,262","51,076","198,210","302,595","601,316","285,941","125,035","156,610","2,334,050","186,322","134,213","268,279","278,838","361,911","438,466","263,927","256,047","76,200","69,847","46,789",62838,793871,"Below",21003513
"14",2010,"Arizona","Percent","4,963,740","61.0%","53.5%","7.2%","0.4%","39.0%",11.8,"2,515,239","55.9%","49.7%","1.3%","6.6%","7.3%","2.4%","12.7%","4.9%","1.9%","7.5%","11.4%","22.6%","10.8%","4.7%","5.9%","2,334,050","8.0%","5.8%","11.5%","11.9%","15.5%","18.8%","11.3%","11.0%","3.3%","3.0%","(X)",NA,793871,"",21003513
"15",2010,"Florida","Percent","15,327,982","60.4%","52.0%","8.0%","0.4%","39.6%",13.3,"7,914,279","56.1%","49.0%","1.2%","6.6%","5.5%","2.9%","13.5%","5.1%","2.0%","7.7%","12.1%","21.4%","11.5%","5.5%","5.0%","7,035,068","8.3%","6.3%","12.6%","12.2%","15.7%","18.3%","10.7%","9.6%","3.1%","3.1%","(X)",NA,1124778,"",21003513
"16",2010,"Florida","Estimate","15,327,982","9,258,330","7,974,945","1,228,640","54,745","6,069,652",NA,"7,914,279","4,439,662","3,880,760","98,374","523,252","436,096","233,815","1,078,715","409,105","159,668","610,230","965,113","1,703,492","919,010","439,963","398,112","7,035,068","587,347","442,863","889,272","859,410","1,107,501","1,284,928","750,571","678,016","215,741","219,419","44,409",61877,1124778,"Below",21003513
"17",2010,"Kansas","Percent","2,213,226","68.0%","62.0%","5.3%","0.6%","32.0%",7.9,"1,126,187","63.6%","58.8%","3.8%","6.3%","12.3%","2.7%","11.5%","4.5%","2.3%","6.0%","8.3%","24.9%","8.1%","4.4%","4.9%","1,101,658","7.0%","5.8%","11.8%","11.5%","15.5%","19.9%","12.0%","10.8%","3.1%","2.7%","(X)",NA,214849,"",21003513
"18",2010,"Kansas","Estimate","2,213,226","1,504,982","1,373,030","118,195","13,757","708,244",NA,"1,126,187","716,095","661,843","51,611","86,373","169,070","37,236","158,359","62,080","31,347","82,353","113,743","341,622","111,365","60,731","67,140","1,101,658","76,680","63,936","129,456","126,623","170,644","219,061","131,904","119,474","34,592","29,288","48,257",63094,214849,"Below",21003513
"19",2010,"Arkansas","Percent","2,290,670","60.4%","54.4%","5.8%","0.3%","39.6%",9.6,"1,181,803","56.0%","50.9%","3.7%","6.5%","13.9%","2.5%","13.3%","5.5%","1.6%","4.4%","6.8%","23.7%","8.1%","4.9%","5.1%","1,114,902","9.8%","7.7%","14.8%","13.7%","15.7%","17.1%","9.4%","7.8%","2.2%","1.8%","(X)",NA,175848,"",21003513
"20",2010,"Arkansas","Estimate","2,290,670","1,384,144","1,245,328","132,106","6,710","906,526",NA,"1,181,803","662,243","600,997","46,213","80,948","172,902","30,850","165,226","68,539","20,269","54,241","84,220","295,592","101,430","61,268","63,630","1,114,902","109,620","85,729","165,419","152,778","174,772","191,106","104,649","87,209","24,066","19,554","38,307",52382,175848,"Below",21003513
"21",2010,"Georgia","Estimate","7,497,805","4,813,577","4,165,453","600,029","48,095","2,684,228",NA,"3,889,417","2,295,935","2,010,878","46,340","282,356","437,159","131,820","504,313","244,713","107,884","257,925","457,005","887,000","365,136","208,073","235,729","3,482,420","318,738","210,861","424,718","397,201","493,955","634,331","385,731","373,231","130,060","113,594","46,430",62967,568916,"Below",21003513
"22",2010,"Georgia","Percent","7,497,805","64.2%","55.6%","8.0%","0.6%","35.8%",12.6,"3,889,417","59.0%","51.7%","1.1%","6.8%","10.5%","3.2%","12.1%","5.9%","2.6%","6.2%","11.0%","21.3%","8.8%","5.0%","5.7%","3,482,420","9.2%","6.1%","12.2%","11.4%","14.2%","18.2%","11.1%","10.7%","3.7%","3.3%","(X)",NA,568916,"",21003513
"23",2010,"Kentucky","Percent","3,437,562","60.3%","52.8%","6.6%","0.9%","39.7%",11.2,"1,766,401","55.4%","49.6%","3.2%","6.0%","13.2%","2.7%","12.3%","5.6%","2.0%","5.3%","7.6%","24.5%","8.3%","4.9%","4.6%","1,684,348","10.3%","8.1%","14.0%","12.2%","14.9%","17.5%","10.4%","8.4%","2.3%","2.0%","(X)",NA,291104,"",21003513
"24",2010,"Kentucky","Estimate","3,437,562","2,073,873","1,815,971","228,045","29,857","1,363,689",NA,"1,766,401","978,756","876,292","57,821","108,091","238,829","48,372","222,689","102,485","36,290","96,678","138,245","444,729","149,841","88,762","83,139","1,684,348","173,707","136,790","236,003","205,138","250,298","294,286","175,271","141,416","38,069","33,370","40,062",54320,291104,"Below",21003513
"25",2010,"California","Estimate","29,159,527","18,759,274","16,243,172","2,382,343","133,759","10,400,253",NA,"14,776,460","8,564,985","7,496,959","382,329","962,730","1,622,500","531,266","1,817,972","753,237","455,625","1,044,890","2,022,483","3,408,105","1,558,901","870,073","813,061","12,406,475","741,864","664,711","1,262,798","1,156,808","1,614,158","2,168,573","1,530,962","1,769,884","752,779","743,938","57,708",79465,2714699,"Above",21003513
"26",2010,"California","Percent","29,159,527","64.3%","55.7%","8.2%","0.5%","35.7%",12.8,"14,776,460","58.0%","50.7%","2.4%","5.9%","10.0%","3.3%","11.2%","4.6%","2.8%","6.4%","12.5%","21.0%","9.6%","5.4%","5.0%","12,406,475","6.0%","5.4%","10.2%","9.3%","13.0%","17.5%","12.3%","14.3%","6.1%","6.0%","(X)",NA,2714699,"",21003513
"27",2010,"Hawaii","Percent","1,093,645","66.6%","58.4%","5.1%","3.1%","33.4%",8.1,"548,508","61.9%","56.8%","1.6%","7.7%","2.9%","2.5%","11.4%","5.9%","1.6%","6.9%","9.4%","21.6%","15.5%","4.5%","8.7%","445,812","6.2%","3.8%","8.5%","8.1%","12.8%","18.4%","14.4%","16.9%","5.7%","5.2%","(X)",NA,78073,"",21003513
"28",2010,"Hawaii","Estimate","1,093,645","728,635","638,191","56,254","34,190","365,010",NA,"548,508","339,666","311,282","10,376","49,281","18,381","15,778","72,645","37,484","10,038","43,817","59,938","137,547","98,752","28,662","55,492","445,812","27,586","16,950","37,839","36,101","57,262","82,056","64,328","75,207","25,426","23,057","63,030",79560,78073,"Above",21003513
"29",2010,"Louisiana","Percent","3,550,438","62.1%","55.4%","6.2%","0.4%","37.9%",10.1,"1,831,931","57.5%","52.0%","4.2%","8.0%","8.3%","2.7%","11.7%","5.3%","1.4%","5.5%","8.0%","23.9%","9.7%","5.3%","6.0%","1,689,822","9.8%","7.5%","13.6%","10.9%","14.4%","17.0%","10.9%","10.1%","3.0%","2.7%","(X)",NA,263676,"",21003513
"30",2010,"Louisiana","Estimate","3,550,438","2,203,490","1,967,523","220,155","15,812","1,346,948",NA,"1,831,931","1,052,743","952,758","83,488","157,937","162,768","54,066","229,527","103,509","27,728","107,939","156,625","470,710","191,026","104,464","117,736","1,689,822","165,644","127,060","230,485","185,015","243,172","287,502","184,188","171,315","50,498","44,943","42,505",59116,263676,"Below",21003513
"31",2010,"Colorado","Percent","3,955,676","69.4%","61.9%","6.8%","0.8%","30.6%",9.9,"1,986,146","63.7%","57.8%","2.2%","7.6%","7.4%","2.6%","11.4%","4.5%","3.0%","7.2%","13.1%","20.4%","10.7%","5.0%","5.0%","1,960,585","6.8%","5.1%","10.3%","10.1%","14.0%","18.4%","12.7%","13.6%","4.8%","4.3%","(X)",NA,369450,"",21003513
"32",2010,"Colorado","Estimate","3,955,676","2,744,831","2,446,674","267,550","30,607","1,210,845",NA,"1,986,146","1,264,492","1,148,690","53,908","185,523","181,103","64,802","278,935","109,478","73,306","175,310","319,360","498,607","260,676","122,114","123,552","1,960,585","133,792","99,108","202,054","197,978","273,976","361,637","248,333","266,341","93,692","83,674","54,046",72423,369450,"Above",21003513
"33",2010,"Idaho","Percent","1,187,623","64.0%","57.4%","6.4%","0.2%","36.0%",10,"596,958","58.4%","53.3%","5.4%","6.8%","10.0%","2.8%","12.6%","4.8%","1.7%","5.8%","10.4%","21.6%","8.7%","4.1%","5.3%","576,709","7.8%","6.7%","12.2%","13.2%","16.0%","20.6%","11.2%","8.1%","2.3%","1.8%","(X)",NA,85201,"",21003513
"34",2010,"Idaho","Estimate","1,187,623","760,329","681,907","75,683","2,739","427,294",NA,"596,958","348,356","318,107","36,718","46,467","68,179","18,972","85,922","32,757","11,788","39,436","70,696","147,288","59,425","27,816","36,443","576,709","45,201","38,641","70,614","76,310","92,467","118,585","64,661","46,609","13,297","10,324","43,490",56086,85201,"Below",21003513
"35",2010,"Maine","Percent","1,088,605","64.5%","58.9%","5.3%","0.2%","35.5%",8.3,"563,193","61.1%","57.1%","2.4%","6.7%","9.2%","2.7%","13.1%","3.8%","1.9%","6.2%","8.9%","28.2%","8.3%","4.3%","4.4%","545,417","7.1%","7.0%","12.5%","11.6%","15.4%","20.0%","11.9%","9.8%","2.8%","2.0%","(X)",NA,72406,"",21003513
"36",2010,"Maine","Estimate","1,088,605","701,948","641,665","58,162","2,121","386,657",NA,"563,193","344,360","321,436","15,315","42,829","59,100","17,396","83,997","24,250","12,364","39,599","56,888","180,987","53,057","27,603","28,280","545,417","38,765","38,211","68,294","63,030","83,914","108,927","64,643","53,256","15,467","10,910","45,815",59300,72406,"Below",21003513
"37",2010,"Connecticut","Estimate","2,862,777","1,947,838","1,736,446","203,513","7,879","914,939",NA,"1,489,675","940,444","846,485","7,443","95,217","188,493","43,580","187,540","64,696","43,094","156,695","193,794","454,976","150,893","82,017","68,008","1,358,809","79,205","59,768","122,071","111,137","167,997","230,952","180,261","212,185","91,520","103,713","64,032",90074,199384,"Above",21003513
"38",2010,"Connecticut","Percent","2,862,777","68.0%","60.7%","7.1%","0.3%","32.0%",10.5,"1,489,675","63.1%","56.8%","0.4%","5.5%","10.9%","2.5%","10.8%","3.7%","2.5%","9.0%","11.2%","26.2%","8.7%","4.7%","3.9%","1,358,809","5.8%","4.4%","9.0%","8.2%","12.4%","17.0%","13.3%","15.6%","6.7%","7.6%","(X)",NA,199384,"",21003513
"39",2010,"Illinois","Percent","10,084,990","66.3%","58.6%","7.6%","0.1%","33.7%",11.4,"5,199,926","61.0%","54.6%","1.1%","5.2%","12.3%","3.1%","11.0%","5.9%","2.1%","7.4%","11.1%","22.9%","9.0%","4.9%","4.1%","4,752,857","7.1%","4.9%","11.0%","10.2%","13.8%","18.4%","12.6%","12.9%","4.6%","4.4%","(X)",NA,906845,"",21003513
"40",2010,"Illinois","Estimate","10,084,990","6,683,498","5,911,495","763,068","8,935","3,401,492",NA,"5,199,926","3,173,930","2,838,127","62,673","308,197","725,504","181,722","650,127","347,754","125,870","438,352","654,913","1,356,136","530,659","289,864","239,724","4,752,857","339,702","234,469","522,016","483,895","657,381","872,772","600,787","615,233","219,026","207,576","52,972",72022,906845,"Above",21003513
"41",2010,"Maryland","Estimate","4,596,659","3,193,408","2,886,015","278,125","29,268","1,403,251",NA,"2,403,884","1,570,193","1,437,441","13,305","197,004","153,181","56,464","276,294","120,527","69,232","184,812","425,146","673,692","224,857","154,441","337,060","2,127,439","117,663","74,081","154,269","167,907","244,185","387,568","286,645","371,681","167,050","156,390","68,854",89563,377967,"Above",21003513
"42",2010,"Maryland","Percent","4,596,659","69.5%","62.8%","6.1%","0.6%","30.5%",8.8,"2,403,884","65.3%","59.8%","0.5%","6.8%","5.3%","2.0%","9.6%","4.2%","2.4%","6.4%","14.7%","23.3%","7.8%","5.4%","11.7%","2,127,439","5.5%","3.5%","7.3%","7.9%","11.5%","18.2%","13.5%","17.5%","7.9%","7.4%","(X)",NA,377967,"",21003513
"43",2010,"Nebraska","Percent","1,419,846","70.8%","65.9%","4.6%","0.3%","29.2%",6.6,"724,474","66.4%","62.7%","4.4%","6.0%","10.0%","2.9%","11.6%","5.9%","2.0%","7.7%","8.4%","24.4%","7.9%","4.6%","4.2%","719,304","6.2%","6.5%","11.7%","11.9%","15.0%","20.2%","12.8%","10.6%","2.8%","2.3%","(X)",NA,144692,"",21003513
"44",2010,"Nebraska","Estimate","1,419,846","1,005,630","935,104","65,779","4,747","414,216",NA,"724,474","480,949","453,966","41,216","56,187","93,719","26,945","108,253","54,858","18,424","72,320","78,524","228,470","73,724","42,997","39,467","719,304","44,781","46,499","84,478","85,410","108,015","145,425","91,778","76,034","20,312","16,572","48,408",61630,144692,"Below",21003513
"45",2010,"North Dakota","Estimate","541,407","381,818","362,895","14,710","4,213","159,589",NA,"267,497","178,379","171,364","30,803","27,156","26,192","12,272","40,349","17,186","6,057","20,980","23,563","89,835","31,044","18,156","19,302","280,412","21,561","17,023","31,945","31,817","40,842","55,630","37,583","30,858","7,051","6,102","48,670",61289,56903,"Below",21003513
"46",2010,"North Dakota","Percent","541,407","70.5%","67.0%","2.7%","0.8%","29.5%",3.9,"267,497","66.7%","64.1%","8.5%","7.5%","7.2%","3.4%","11.1%","4.7%","1.7%","5.8%","6.5%","24.8%","8.6%","5.0%","5.3%","280,412","7.7%","6.1%","11.4%","11.3%","14.6%","19.8%","13.4%","11.0%","2.5%","2.2%","(X)",NA,56903,"",21003513
"47",2010,"Massachusetts","Percent","5,313,877","67.7%","60.7%","6.9%","0.1%","32.3%",10.2,"2,778,379","63.0%","57.4%","0.4%","5.3%","9.3%","2.5%","10.9%","3.7%","2.6%","7.6%","13.0%","27.7%","8.3%","4.5%","4.2%","2,520,419","7.4%","5.3%","8.9%","8.0%","11.4%","17.0%","12.8%","16.0%","6.6%","6.6%","(X)",NA,507753,"",21003513
"48",2010,"Massachusetts","Estimate","5,313,877","3,595,428","3,225,103","365,805","4,520","1,718,449",NA,"2,778,379","1,750,302","1,594,522","12,994","171,734","301,164","80,740","350,274","118,244","84,639","243,990","419,757","894,367","267,807","144,681","134,712","2,520,419","185,397","133,225","223,902","201,880","288,080","429,339","323,455","403,171","165,224","166,746","62,072",84005,507753,"Above",21003513
"49",2010,"Nevada","Estimate","2,116,850","1,403,012","1,196,894","196,276","9,842","713,838",NA,"1,054,204","639,227","555,087","19,776","75,833","49,035","27,954","138,303","55,698","19,741","73,250","125,940","185,466","309,701","55,265","60,932","989,811","69,255","46,091","111,299","112,217","145,231","195,837","126,353","117,562","35,985","29,981","51,001",66630,129360,"Above",21003513
"50",2010,"Nevada","Percent","2,116,850","66.3%","56.5%","9.3%","0.5%","33.7%",14.1,"1,054,204","60.6%","52.7%","1.7%","6.3%","4.1%","2.3%","11.6%","4.7%","1.6%","6.1%","10.5%","15.5%","25.9%","4.6%","5.1%","989,811","7.0%","4.7%","11.2%","11.3%","14.7%","19.8%","12.8%","11.9%","3.6%","3.0%","(X)",NA,129360,"",21003513
"51",2010,"Ohio","Percent","9,136,211","64.1%","56.7%","7.3%","0.1%","35.9%",11.4,"4,732,567","59.7%","53.7%","0.9%","5.1%","15.0%","2.8%","12.0%","4.8%","1.8%","6.4%","8.9%","24.7%","8.7%","4.6%","4.2%","4,525,066","8.5%","6.2%","12.7%","11.7%","15.3%","18.8%","11.5%","10.0%","2.9%","2.4%","(X)",NA,745115,"",21003513
"52",2010,"Ohio","Estimate","9,136,211","5,856,411","5,176,890","668,021","11,500","3,279,800",NA,"4,732,567","2,823,264","2,541,915","47,275","264,104","774,572","144,213","620,988","248,635","91,586","332,717","461,343","1,281,076","451,386","239,837","219,158","4,525,066","385,912","279,435","576,149","530,647","692,036","849,551","520,458","451,503","130,732","108,643","45,090",59654,745115,"Below",21003513
"53",2010,"Michigan","Estimate","7,833,379","4,874,698","4,137,510","733,164","4,024","2,958,681",NA,"4,029,342","2,353,249","2,039,101","57,270","195,862","676,004","106,597","488,999","172,037","67,154","233,633","365,253","1,016,534","391,003","203,828","163,336","3,806,621","320,953","237,074","489,200","436,343","583,142","719,773","427,891","382,961","118,836","90,448","45,413",59772,697765,"Below",21003513
"54",2010,"Michigan","Percent","7,833,379","62.2%","52.8%","9.4%","0.1%","37.8%",15.1,"4,029,342","58.4%","50.6%","1.4%","4.7%","16.3%","2.6%","11.8%","4.2%","1.6%","5.6%","8.8%","24.6%","9.5%","4.9%","3.9%","3,806,621","8.4%","6.2%","12.9%","11.5%","15.3%","18.9%","11.2%","10.1%","3.1%","2.4%","(X)",NA,697765,"",21003513
"55",2010,"New Hampshire","Percent","1,066,757","69.7%","64.2%","5.4%","0.1%","30.3%",7.8,"546,719","65.1%","60.6%","0.9%","7.0%","12.5%","3.2%","13.6%","3.8%","1.9%","6.4%","9.9%","24.8%","8.1%","4.2%","3.8%","515,431","4.7%","4.0%","8.8%","9.2%","14.2%","19.3%","14.3%","15.5%","5.6%","4.5%","(X)",NA,75539,"",21003513
"56",2010,"New Hampshire","Estimate","1,066,757","743,216","684,575","57,634","1,007","323,541",NA,"546,719","356,140","331,321","5,968","47,878","85,667","21,621","93,440","26,042","12,760","43,751","67,783","169,506","55,368","28,484","26,307","515,431","24,462","20,650","45,336","47,303","72,957","99,620","73,652","79,712","28,732","23,007","61,042",77323,75539,"Above",21003513
"57",2010,"Oklahoma","Percent","2,930,683","62.6%","56.9%","5.1%","0.7%","37.4%",8.2,"1,496,583","57.1%","52.4%","4.4%","6.9%","9.5%","2.9%","11.5%","5.1%","2.0%","6.1%","7.6%","23.0%","9.4%","5.2%","6.3%","1,432,959","8.6%","7.0%","13.4%","12.5%","15.9%","19.0%","10.4%","8.6%","2.5%","2.2%","(X)",NA,230560,"",21003513
"58",2010,"Oklahoma","Estimate","2,930,683","1,835,188","1,666,604","148,418","20,166","1,095,495",NA,"1,496,583","854,021","784,922","73,382","115,736","158,890","47,784","192,208","85,505","34,090","101,266","126,549","383,820","156,731","86,184","104,459","1,432,959","122,997","101,017","191,388","178,774","227,606","272,317","148,974","123,163","35,853","30,870","42,072",56533,230560,"Below",21003513
"59",2010,"Minnesota","Percent","4,175,262","70.4%","64.5%","5.9%","0.1%","29.6%",8.3,"2,119,967","66.5%","61.9%","2.4%","5.4%","13.5%","2.9%","11.8%","4.3%","1.9%","7.0%","9.4%","25.1%","8.2%","4.5%","3.6%","2,091,548","5.9%","5.1%","10.1%","10.1%","13.9%","19.7%","13.8%","13.3%","4.5%","3.6%","(X)",NA,465449,"",21003513
"60",2010,"Minnesota","Estimate","4,175,262","2,940,461","2,693,645","244,632","2,184","1,234,801",NA,"2,119,967","1,410,309","1,312,259","65,686","145,820","363,395","78,639","316,547","116,324","52,100","188,303","252,280","677,107","219,610","119,891","97,943","2,091,548","123,174","106,991","211,450","210,268","290,148","412,685","289,660","278,005","93,242","75,925","55,459",71345,465449,"Above",21003513
"61",2010,"New Jersey","Estimate","6,987,107","4,653,750","4,143,877","503,128","6,745","2,333,357",NA,"3,628,977","2,205,678","1,976,807","13,819","235,211","374,066","146,244","453,480","235,802","123,906","370,306","508,215","968,873","329,798","187,140","197,017","3,172,421","174,342","130,977","270,609","256,073","353,152","541,530","414,452","526,854","246,604","257,828","67,681",90882,444092,"Above",21003513
"62",2010,"New Jersey","Percent","6,987,107","66.6%","59.3%","7.2%","0.1%","33.4%",10.8,"3,628,977","60.8%","54.5%","0.3%","5.7%","9.0%","3.5%","10.9%","5.7%","3.0%","8.9%","12.3%","23.4%","8.0%","4.5%","4.8%","3,172,421","5.5%","4.1%","8.5%","8.1%","11.1%","17.1%","13.1%","16.6%","7.8%","8.1%","(X)",NA,444092,"",21003513
"63",2010,"Oregon","Percent","3,071,969","63.5%","55.4%","8.1%","0.1%","36.5%",12.7,"1,566,275","59.1%","52.7%","3.4%","5.6%","10.6%","3.0%","12.3%","4.2%","1.9%","6.2%","9.9%","22.9%","9.4%","5.2%","5.2%","1,507,137","7.8%","6.0%","12.0%","11.8%","15.5%","18.9%","11.5%","10.6%","3.1%","2.7%","(X)",NA,251708,"",21003513
"64",2010,"Oregon","Estimate","3,071,969","1,952,123","1,701,473","247,412","3,238","1,119,846",NA,"1,566,275","925,335","826,165","58,077","94,980","180,865","51,208","209,682","72,283","32,936","105,136","169,144","390,280","160,239","88,204","88,439","1,507,137","118,189","90,857","181,041","177,254","234,029","284,572","173,023","160,509","47,234","40,429","46,560",61552,251708,"Below",21003513
"65",2010,"Mississippi","Estimate","2,302,345","1,352,282","1,175,203","165,085","11,994","950,063",NA,"1,202,319","652,802","571,684","32,868","76,662","151,301","33,039","137,519","65,902","19,575","52,896","69,768","289,487","113,704","62,452","70,030","1,079,999","123,082","95,296","165,276","130,225","161,312","179,948","106,652","79,617","20,460","18,131","36,851",50591,179995,"Below",21003513
"66",2010,"Mississippi","Percent","2,302,345","58.7%","51.0%","7.2%","0.5%","41.3%",12.3,"1,202,319","54.3%","47.5%","2.8%","6.5%","12.9%","2.8%","11.7%","5.6%","1.7%","4.5%","5.9%","24.6%","9.7%","5.3%","6.0%","1,079,999","11.4%","8.8%","15.3%","12.1%","14.9%","16.7%","9.9%","7.4%","1.9%","1.7%","(X)",NA,179995,"",21003513
"67",2010,"New Mexico","Percent","1,605,996","60.2%","54.1%","5.7%","0.5%","39.8%",9.5,"819,035","55.2%","50.2%","3.7%","7.5%","4.7%","2.0%","12.1%","4.3%","1.8%","4.2%","10.8%","24.7%","10.6%","4.6%","9.0%","765,183","9.7%","6.6%","13.7%","12.2%","14.8%","17.3%","10.6%","9.8%","3.1%","2.3%","(X)",NA,162552,"",21003513
